replicate,condition,on_ball,g_fb,wall_s,n_active,oversaturated,max_fr,unstable,reason,n_rhythmic,has_rhythm,median_dom_hz,tripod,n_valid_pairs,n_sig_pairs,ball_pitch_rad_s
0,E0,False,0.0,23.5,522,False,23.9,False,,5,True,12.0,-0.242,10,6,
0,E2,True,0.0,25.2,522,False,23.9,False,,5,True,12.0,-0.242,10,6,0.015
0,E1,False,10.0,23.8,3866,True,223.9,False,,0,False,,,0,0,
0,E3,True,0.0,25.5,522,False,23.9,False,,5,True,12.0,-0.242,10,6,0.015
0,E3,True,2.5,25.7,539,False,23.9,False,,5,True,12.0,-0.251,10,6,0.015
0,E3,True,5.0,25.2,4318,True,226.9,False,,2,True,2.57,-0.957,1,0,0.114
0,E3,True,10.0,24.2,4650,True,227.7,False,,1,False,2.57,,0,0,0.273
0,E3,True,20.0,24.6,3790,True,223.2,False,,2,True,3.57,0.237,1,1,-0.013
0,E3,True,40.0,24.7,4058,True,231.2,False,,1,False,2.29,,0,0,-0.005
1,E0,False,0.0,23.5,380,False,19.1,False,,3,True,10.57,-0.406,3,1,
1,E2,True,0.0,25.3,380,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E1,False,10.0,23.8,4857,True,230.1,False,,1,False,3.43,,0,0,
1,E3,True,0.0,25.2,380,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,True,2.5,25.5,386,False,19.1,False,,3,True,10.57,-0.407,3,3,0.01
1,E3,True,5.0,24.5,3578,True,226.8,False,,1,False,10.0,,0,0,0.009
1,E3,True,10.0,24.9,4051,True,228.3,False,,1,False,3.43,,0,0,-0.022
1,E3,True,20.0,25.3,3626,True,228.3,False,,0,False,,,0,0,0.019
1,E3,True,40.0,25.1,4804,True,230.1,False,,0,False,,,0,0,-0.008
2,E0,False,0.0,24.9,4176,True,232.2,False,,3,True,2.57,-0.444,3,3,
2,E2,True,0.0,25.8,4176,True,232.2,False,,3,True,2.57,-0.444,3,3,0.385
2,E1,False,10.0,24.0,4138,True,232.1,False,,3,True,2.57,0.865,3,3,
2,E3,True,0.0,24.9,4176,True,232.2,False,,3,True,2.57,-0.444,3,3,0.385
2,E3,True,2.5,24.9,4190,True,232.2,False,,2,True,2.57,-0.898,1,1,0.375
2,E3,True,5.0,24.9,3648,True,235.6,False,,1,False,10.57,,0,0,-0.03
2,E3,True,10.0,25.5,4141,True,232.1,False,,3,True,2.57,0.881,3,3,0.007
2,E3,True,20.0,25.2,3395,True,230.4,False,,2,True,4.29,0.212,1,0,0.013
2,E3,True,40.0,25.0,4890,True,235.6,False,,3,True,3.14,0.837,3,1,0.039
3,E0,False,0.0,23.8,367,False,17.3,False,,4,True,9.14,-0.295,6,1,
3,E2,True,0.0,25.7,367,False,17.3,False,,4,True,9.14,-0.295,6,1,-0.005
3,E1,False,10.0,24.2,3582,True,235.2,False,,1,False,3.14,,0,0,
3,E3,True,0.0,25.8,367,False,17.3,False,,4,True,9.14,-0.295,6,1,-0.005
3,E3,True,2.5,26.0,379,False,17.3,False,,4,True,9.14,-0.311,6,1,-0.004
3,E3,True,5.0,25.3,4492,True,233.8,False,,0,False,,,0,0,-0.01
3,E3,True,10.0,25.8,3569,True,235.2,False,,1,False,3.43,,0,0,0.098
3,E3,True,20.0,25.4,4109,True,234.5,False,,1,False,11.14,,0,0,0.024
3,E3,True,40.0,24.7,4888,True,234.9,False,,2,True,2.43,0.948,1,0,0.024
