replicate,condition,encoder,on_ball,g_fb,drive_dc,drive_mod,dc_share,wall_s,n_active,oversaturated,max_fr,unstable,reason,n_rhythmic,has_rhythm,median_dom_hz,tripod,n_valid_pairs,n_sig_pairs,ball_pitch_rad_s
0,E0,signed,False,0.0,0.0,0.0,,23.2,522,False,23.9,False,,5,True,12.0,-0.242,10,6,
0,E3,signed,True,0.0,1.863,0.212,0.898,25.0,522,False,23.9,False,,5,True,12.0,-0.242,10,6,0.015
0,E3,signed,True,1.0,1.861,0.212,0.898,25.3,525,False,23.9,False,,5,True,12.0,-0.244,10,6,0.014
0,E3,signed,True,2.0,1.855,0.209,0.899,25.2,533,False,23.9,False,,5,True,12.0,-0.244,10,6,0.014
0,E3,signed,True,2.5,1.852,0.208,0.899,25.2,546,False,23.9,False,,5,True,12.0,-0.239,10,6,0.014
0,E3,signed,True,3.0,1.848,0.208,0.899,25.2,561,False,23.8,False,,5,True,12.0,-0.233,10,6,0.016
0,E3,signed,True,3.5,3.222,3.066,0.512,25.1,4135,True,230.1,False,,0,False,,,0,0,0.017
0,E3,signed,True,4.0,3.696,3.372,0.523,25.1,4516,True,230.7,False,,3,True,2.57,-0.305,3,0,0.016
0,E3,signed,True,4.5,4.017,3.453,0.538,24.9,4748,True,230.4,False,,1,False,2.0,,0,0,0.101
0,E3,deviation,True,0.0,0.594,0.435,0.577,25.0,522,False,23.9,False,,5,True,12.0,-0.242,10,6,0.015
0,E3,deviation,True,1.0,0.595,0.435,0.578,25.2,524,False,23.9,False,,5,True,12.0,-0.242,10,6,0.015
0,E3,deviation,True,2.0,0.588,0.43,0.577,25.2,524,False,23.9,False,,5,True,12.0,-0.248,10,6,0.015
0,E3,deviation,True,2.5,0.584,0.428,0.577,25.2,526,False,23.9,False,,5,True,12.0,-0.251,10,6,0.015
0,E3,deviation,True,3.0,0.582,0.427,0.577,25.2,545,False,23.9,False,,5,True,12.0,-0.237,10,6,0.014
0,E3,deviation,True,3.5,0.575,0.423,0.576,25.3,543,False,23.9,False,,5,True,12.0,-0.231,10,6,0.015
0,E3,deviation,True,4.0,7.1,2.865,0.713,25.4,4040,True,227.6,False,,0,False,,,0,0,0.052
0,E3,deviation,True,4.5,7.705,2.842,0.731,24.7,4629,True,228.0,False,,1,False,3.71,,0,0,0.017
1,E0,signed,False,0.0,0.0,0.0,,23.2,380,False,19.1,False,,3,True,10.57,-0.406,3,1,
1,E3,signed,True,0.0,1.782,0.155,0.92,25.2,380,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,signed,True,1.0,1.781,0.155,0.92,25.3,384,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,signed,True,2.0,1.772,0.152,0.921,25.3,389,False,19.1,False,,3,True,10.57,-0.409,3,1,0.01
1,E3,signed,True,2.5,1.767,0.15,0.922,25.3,385,False,19.1,False,,3,True,10.57,-0.401,3,3,0.01
1,E3,signed,True,3.0,1.759,0.146,0.924,25.4,394,False,19.6,False,,3,True,10.57,-0.396,3,3,0.01
1,E3,signed,True,3.5,1.754,0.144,0.924,25.3,410,False,24.1,False,,3,True,10.57,-0.399,3,3,0.01
1,E3,signed,True,4.0,3.749,2.142,0.636,24.7,4216,True,230.1,False,,1,False,2.57,,0,0,0.133
1,E3,signed,True,4.5,3.573,1.623,0.688,24.3,3576,True,226.8,False,,1,False,10.0,,0,0,-0.005
1,E3,deviation,True,0.0,0.375,0.215,0.636,25.1,380,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,deviation,True,1.0,0.376,0.215,0.636,25.4,380,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,deviation,True,2.0,0.371,0.213,0.636,25.4,384,False,19.1,False,,3,True,10.57,-0.407,3,1,0.01
1,E3,deviation,True,2.5,0.366,0.209,0.636,25.3,384,False,19.1,False,,3,True,10.57,-0.409,3,1,0.01
1,E3,deviation,True,3.0,0.364,0.208,0.636,25.4,384,False,19.1,False,,3,True,10.57,-0.41,3,1,0.01
1,E3,deviation,True,3.5,0.357,0.204,0.636,25.3,388,False,19.1,False,,3,True,10.57,-0.411,3,1,0.011
1,E3,deviation,True,4.0,0.354,0.199,0.64,25.3,387,False,19.1,False,,3,True,10.57,-0.412,3,1,0.011
1,E3,deviation,True,4.5,0.348,0.194,0.642,25.3,388,False,19.1,False,,3,True,10.57,-0.413,3,1,0.011
2,E0,signed,False,0.0,0.0,0.0,,23.2,4176,True,232.2,False,,3,True,2.57,-0.444,3,3,
2,E3,signed,True,0.0,3.476,2.267,0.605,24.6,4176,True,232.2,False,,3,True,2.57,-0.444,3,3,0.385
2,E3,signed,True,1.0,3.469,2.269,0.605,24.7,4178,True,232.2,False,,3,True,2.57,-0.444,3,3,0.384
2,E3,signed,True,2.0,3.657,2.748,0.571,24.8,4212,True,232.2,False,,3,True,2.57,-0.533,3,1,0.185
