replicate,condition,encoder,on_ball,g_fb,effect,drive_dc,drive_mod,dc_share,wall_s,n_active,oversaturated,max_fr,unstable,reason,n_rhythmic,has_rhythm,median_dom_hz,tripod,n_valid_pairs,n_sig_pairs,ball_pitch_rad_s
0,E0,deviation_capped,False,0.0,,0.0,0.0,,23.2,522,False,23.9,False,,5,True,12.0,-0.242,10,6,
0,E3,deviation_capped,True,0.0,0.0,0.594,0.435,0.577,25.0,522,False,23.9,False,,5,True,12.0,-0.242,10,6,0.015
0,E3,deviation_capped,True,1.0,7e-05,0.595,0.435,0.578,25.3,524,False,23.9,False,,5,True,12.0,-0.242,10,6,0.015
0,E3,deviation_capped,True,2.0,0.0715,0.588,0.43,0.577,25.3,524,False,23.9,False,,5,True,12.0,-0.248,10,6,0.015
0,E3,deviation_capped,True,2.5,0.0831,0.584,0.428,0.577,25.4,526,False,23.9,False,,5,True,12.0,-0.251,10,6,0.015
0,E3,deviation_capped,True,3.0,0.08201,0.582,0.427,0.577,25.3,545,False,23.9,False,,5,True,12.0,-0.237,10,6,0.014
0,E3,deviation_capped,True,3.5,0.08277,0.575,0.423,0.576,25.3,543,False,23.9,False,,5,True,12.0,-0.231,10,6,0.015
0,E3,deviation_capped,True,4.0,1.02838,6.091,3.482,0.636,25.3,4534,True,230.6,False,,1,False,2.57,,0,0,0.039
0,E3,deviation_capped,True,4.5,1.03767,7.818,2.675,0.745,24.8,4615,True,228.0,False,,1,False,3.71,,0,0,0.019
0,E3,deviation_fractionated,True,0.0,0.0,0.594,0.435,0.577,27.6,522,False,23.9,False,,5,True,12.0,-0.242,10,6,0.015
0,E3,deviation_fractionated,True,1.0,2e-05,0.594,0.435,0.577,25.5,525,False,23.9,False,,5,True,12.0,-0.242,10,6,0.015
0,E3,deviation_fractionated,True,2.0,0.05426,0.59,0.433,0.577,25.5,524,False,23.9,False,,5,True,12.0,-0.248,10,6,0.015
0,E3,deviation_fractionated,True,2.5,0.07408,0.588,0.431,0.577,25.5,534,False,23.9,False,,5,True,12.0,-0.249,10,6,0.014
0,E3,deviation_fractionated,True,3.0,0.07946,0.583,0.427,0.577,25.5,537,False,23.9,False,,5,True,12.0,-0.25,10,6,0.015
0,E3,deviation_fractionated,True,3.5,0.08289,0.578,0.423,0.577,25.5,541,False,25.5,False,,5,True,12.0,-0.25,10,6,0.015
0,E3,deviation_fractionated,True,4.0,1.03312,5.783,3.555,0.619,25.3,4590,True,230.7,False,,0,False,,,0,0,0.015
0,E3,deviation_fractionated,True,4.5,1.01784,5.757,3.137,0.647,25.2,4339,True,230.3,False,,0,False,,,0,0,0.09
1,E0,deviation_capped,False,0.0,,0.0,0.0,,23.2,380,False,19.1,False,,3,True,10.57,-0.406,3,1,
1,E3,deviation_capped,True,0.0,0.0,0.375,0.215,0.636,25.2,380,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,deviation_capped,True,1.0,0.0,0.376,0.215,0.636,25.5,380,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,deviation_capped,True,2.0,0.0,0.371,0.213,0.636,25.5,384,False,19.1,False,,3,True,10.57,-0.407,3,1,0.01
1,E3,deviation_capped,True,2.5,0.0,0.366,0.209,0.636,25.5,384,False,19.1,False,,3,True,10.57,-0.409,3,1,0.01
1,E3,deviation_capped,True,3.0,1e-05,0.364,0.208,0.636,25.5,384,False,19.1,False,,3,True,10.57,-0.41,3,1,0.01
1,E3,deviation_capped,True,3.5,1e-05,0.357,0.204,0.636,25.4,388,False,19.1,False,,3,True,10.57,-0.411,3,1,0.011
1,E3,deviation_capped,True,4.0,2e-05,0.354,0.199,0.64,25.3,387,False,19.1,False,,3,True,10.57,-0.412,3,1,0.011
1,E3,deviation_capped,True,4.5,2e-05,0.348,0.194,0.642,25.5,388,False,19.1,False,,3,True,10.57,-0.413,3,1,0.011
1,E3,deviation_fractionated,True,0.0,0.0,0.375,0.215,0.636,25.2,380,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,deviation_fractionated,True,1.0,0.0,0.375,0.215,0.636,25.6,381,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,deviation_fractionated,True,2.0,0.0,0.375,0.216,0.634,25.6,383,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,deviation_fractionated,True,2.5,0.0,0.371,0.212,0.636,25.6,388,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,deviation_fractionated,True,3.0,0.0,0.368,0.21,0.637,25.6,390,False,19.1,False,,3,True,10.57,-0.406,3,1,0.01
1,E3,deviation_fractionated,True,3.5,0.0,0.362,0.206,0.638,25.6,394,False,20.0,False,,3,True,10.57,-0.405,3,1,0.01
1,E3,deviation_fractionated,True,4.0,0.00016,0.356,0.201,0.639,25.6,400,False,23.8,False,,3,True,10.57,-0.404,3,1,0.011
1,E3,deviation_fractionated,True,4.5,0.05492,0.351,0.197,0.64,25.6,430,False,27.5,False,,3,True,10.57,-0.421,3,1,0.013
2,E0,deviation_capped,False,0.0,,0.0,0.0,,23.2,4176,True,232.2,False,,3,True,2.57,-0.444,3,3,
2,E3,deviation_capped,True,0.0,0.0,6.823,3.255,0.677,24.5,4176,True,232.2,False,,3,True,2.57,-0.444,3,3,0.385
2,E3,deviation_capped,True,1.0,0.0,6.849,3.268,0.677,24.9,4180,True,232.2,False,,3,True,2.57,-0.444,3,3,0.384
2,E3,deviation_capped,True,2.0,3e-05,6.824,3.255,0.677,24.8,4195,True,232.2,False,,3,True,2.57,-0.442,3,3,0.385
2,E3,deviation_capped,True,2.5,0.00281,6.911,3.063,0.693,25.0,4232,True,232.2,False,,3,True,2.57,-0.514,3,1,0.181
2,E3,deviation_capped,True,3.0,0.0025,6.947,3.099,0.691,24.9,4244,True,232.2,False,,3,True,2.57,-0.506,3,1,0.182
2,E3,deviation_capped,True,3.5,0.00617,6.893,3.092,0.69,25.0,4255,True,232.2,False,,2,True,2.57,-0.971,1,1,0.191
2,E3,deviation_capped,True,4.0,0.00345,6.931,3.104,0.691,25.0,4266,True,232.2,False,,3,True,2.57,-0.518,3,1,0.186
2,E3,deviation_capped,True,4.5,0.0132,6.897,3.103,0.69,25.2,4298,True,232.2,False,,3,True,2.57,-0.472,3,3,0.187
2,E3,deviation_fractionated,True,0.0,0.0,6.823,3.255,0.677,24.6,4176,True,232.2,False,,3,True,2.57,-0.444,3,3,0.385
2,E3,deviation_fractionated,True,1.0,0.0,6.822,3.256,0.677,25.0,4178,True,232.2,False,,3,True,2.57,-0.443,3,3,0.384
2,E3,deviation_fractionated,True,2.0,1e-05,6.828,3.253,0.677,25.3,4182,True,232.2,False,,3,True,2.57,-0.443,3,3,0.384
2,E3,deviation_fractionated,True,2.5,1e-05,6.859,3.278,0.677,25.2,4189,True,232.2,False,,3,True,2.57,-0.442,3,3,0.383
2,E3,deviation_fractionated,True,3.0,5e-05,6.814,3.251,0.677,25.0,4195,True,232.2,False,,3,True,2.57,-0.43,3,3,0.378
2,E3,deviation_fractionated,True,3.5,0.00319,6.924,3.077,0.692,25.2,4247,True,232.2,False,,3,True,2.57,-0.5,3,1,0.184
2,E3,deviation_fractionated,True,4.0,0.01959,6.971,3.098,0.692,25.2,4253,True,232.2,False,,2,True,2.71,0.638,1,0,0.196
2,E3,deviation_fractionated,True,4.5,0.03794,7.019,3.072,0.696,25.2,4265,True,232.2,False,,1,False,2.86,,0,0,0.198
3,E0,deviation_capped,False,0.0,,0.0,0.0,,23.3,367,False,17.3,False,,4,True,9.14,-0.295,6,1,
3,E3,deviation_capped,True,0.0,0.0,0.447,0.397,0.53,25.2,367,False,17.3,False,,4,True,9.14,-0.295,6,1,-0.005
3,E3,deviation_capped,True,1.0,0.0,0.448,0.398,0.529,25.6,370,False,17.3,False,,4,True,9.14,-0.295,6,1,-0.005
3,E3,deviation_capped,True,2.0,0.00017,0.441,0.392,0.529,25.5,371,False,17.3,False,,4,True,9.14,-0.298,6,1,-0.004
3,E3,deviation_capped,True,2.5,0.00043,0.436,0.387,0.529,25.6,372,False,17.3,False,,4,True,9.14,-0.3,6,1,-0.004
3,E3,deviation_capped,True,3.0,0.00068,0.43,0.38,0.53,25.5,376,False,17.3,False,,4,True,9.14,-0.303,6,1,-0.004
3,E3,deviation_capped,True,3.5,0.00081,0.423,0.374,0.531,25.6,382,False,17.3,False,,4,True,9.14,-0.306,6,1,-0.004
3,E3,deviation_capped,True,4.0,0.00102,0.417,0.368,0.531,25.6,387,False,20.2,False,,4,True,9.14,-0.308,6,1,-0.004
3,E3,deviation_capped,True,4.5,1.01537,6.504,3.087,0.678,25.0,4648,True,234.5,False,,1,False,2.29,,0,0,-0.048
3,E3,deviation_fractionated,True,0.0,0.0,0.447,0.397,0.53,25.2,367,False,17.3,False,,4,True,9.14,-0.295,6,1,-0.005
3,E3,deviation_fractionated,True,1.0,0.0,0.448,0.398,0.529,25.7,370,False,17.3,False,,4,True,9.14,-0.295,6,1,-0.005
3,E3,deviation_fractionated,True,2.0,9e-05,0.44,0.39,0.53,25.7,374,False,17.3,False,,4,True,9.14,-0.296,6,1,-0.005
3,E3,deviation_fractionated,True,2.5,0.00018,0.435,0.384,0.531,25.7,377,False,18.0,False,,4,True,9.14,-0.297,6,1,-0.004
3,E3,deviation_fractionated,True,3.0,0.00024,0.428,0.377,0.532,25.7,381,False,23.3,False,,4,True,9.14,-0.299,6,1,-0.004
3,E3,deviation_fractionated,True,3.5,0.00025,0.422,0.37,0.533,25.7,385,False,28.0,False,,4,True,9.14,-0.3,6,1,-0.004
